"city","country","address","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Rondebosch"," South Africa","Rondebosch, Cape Town, City of Cape Town, Western Cape, South Africa","0.467","15.622","0","1"
"Bellville"," South Africa","Bellville, City of Cape Town, Western Cape, South Africa","2.496","83.481","0","2"
"Pretoria"," South Africa","Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa","726.46","2617.298","1","0"
"Port Elizabeth"," South Africa","Port Elizabeth, Nelson Mandela Bay Metropolitan Municipality, Eastern Cape, 6006, South Africa","878.541","2657.364","2","0"
"Westville"," South Africa","Westville, eThekwini Metropolitan Municipality, KwaZulu-Natal, 3639, South Africa","1408.657","5064.919","2","0"
"Autonomous City of Buenos Aires"," Argentina","Autonomous City of Buenos Aires, Argentina","2540.545","13746.992","1","0"
"Adelaide"," Australia","Adelaide, Adelaide City Council, South Australia, 5000, Australia","3784.847","20300.99","1","0"
"Gothenburg"," Sweden","Gothenburg, Göteborgs Stad, Västra Götaland County, Region Götaland, Sweden","3806.589","20414.768","1","0"
"Reykjavik"," Iceland","Reykjavik, Capital Region, Iceland","4280.044","22927.57","1","0"
"Cork"," Ireland","Cork, Cork City 2019, County Cork, Munster, T12 EE6N, Ireland","7375.607","39586.304","2","0"
"Amsterdam"," The Netherlands","Amsterdam, North Holland, Netherlands, The Netherlands","10821.934","58115.787","3","0"
"Vitória"," Brazil","Vitória, Microrregião Vitória, Greater Vitória, Região Geográfica Intermediária de Vitória, Espírito Santo, Southeast Region, Brazil","13523.414","71139.34","6","0"
"Brussels"," Belgium","Brussels, Ville de Bruxelles - Stad Brussel, Brussels-Capital, Belgium","14185.478","76212.066","4","0"
"Florianópolis"," Brazil","Florianópolis, Microrregião de Florianópolis, Mesorregião da Grande Florianópolis, Santa Catarina, South Region, Brazil","16550.795","88559.31","7","0"
"Plouzané"," France","Plouzané, Brest, Finistère, Brittany, Metropolitan France, 29280, France","17576.585","94343.634","5","0"
"Berlin"," Germany","Berlin, 10117, Germany","17919.632","96247.774","5","0"
"Bremen"," Germany","Bremen, Free Hanseatic City of Bremen, Germany","18099.929","97191.28","5","0"
"Bremerhaven"," Germany","Bremerhaven, Free Hanseatic City of Bremen, Germany","18204.084","97736.336","5","0"
"Kiel"," Germany","Kiel, Schleswig-Holstein, Germany","18341.07","98453.192","5","0"
"Paris"," France","Paris, Ile-de-France, Metropolitan France, France","20906.12","112105.308","6","0"
"Swindon"," United Kingdom","Swindon, South West England, England, SN1 1JZ, United Kingdom","25312.024","135921.913","7","0"
"Oban"," United Kingdom","Oban, Argyll and Bute, Scotland, PA34 5PZ, United Kingdom","26884.612","144151.4","7","0"
"London"," United Kingdom","London, Greater London, England, United Kingdom","28813.734","154741.226","8","0"
"Edinburgh"," United Kingdom","Edinburgh, City of Edinburgh, Scotland, EH1 3EG, United Kingdom","30437.618","163239.144","8","0"
"Horta"," Portugal","Horta, Faial, Azores, Portugal","31572.256","169427.654","9","0"
"Philadelphia"," United States of America","Philadelphia, Philadelphia County, Pennsylvania, United States of America","37702.037","201864.266","8","0"
"Corvallis"," United States of America","Corvallis, Benton County, Oregon, United States of America","43317.227","231658.102","7","0"
"Madrid"," Spain","Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain","45165.13","240032.855","14","0"
"Montreal"," Canada","Montreal, Urban agglomeration of Montreal, Montreal (06), Quebec, Canada","52431.601","280713.789","11","0"
