"city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Edinburgh"," United Kingdom","Edinburgh, City of Edinburgh, Scotland, EH1 3EG, United Kingdom","55.9533456","-3.1883749","0.0","0.0","0","6"
"Oban"," United Kingdom","Oban, Argyll and Bute, Scotland, PA34 5PZ, United Kingdom","56.415695","-5.4734688","53.983","1805.445","0","6"
"Swindon"," United Kingdom","Swindon, South West England, England, SN1 1JZ, United Kingdom","51.5613683","-1.7856853","59.437","1987.871","0","2"
"Amsterdam"," The Netherlands","Amsterdam, North Holland, Netherlands, The Netherlands","52.3727598","4.8936041","437.437","1318.257","1","0"
"Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","512.795","1746.73","1","0"
"Gothenburg"," Sweden","Gothenburg, Göteborgs Stad, Västra Götaland County, Region Götaland, Sweden","57.7072326","11.9670171","536.333","1880.566","1","0"
"Reykjavik"," Iceland","Reykjavik, Capital Region, Iceland","64.145981","-21.9422367","761.275","2748.12","1","0"
"London"," United Kingdom","London, Greater London, England, United Kingdom","51.5073219","-0.1276474","786.616","2134.685","2","0"
"Southampton"," United Kingdom","Southampton, South East, England, SO14 2BY, United Kingdom","50.9025349","-1.404189","814.902","2295.516","2","0"
"Lecce"," Italy","Lecce, Apulia, Italy","40.152217300000004","18.2260628338229","1198.271","4702.449","1","0"
"Brussels"," Belgium","Brussels, Ville de Bruxelles - Stad Brussel, Brussels-Capital, Belgium","50.8436709","4.3674366933879565","1415.18","4539.668","3","0"
"Bremerhaven"," Germany","Bremerhaven, Free Hanseatic City of Bremen, Germany","53.5522264","8.5865509","1461.17","4801.159","3","0"
"Kiel"," Germany","Kiel, Schleswig-Holstein, Germany","54.3227085","10.135555","1529.128","5187.564","3","0"
"Berlin"," Germany","Berlin, 10117, Germany","52.5170365","13.3888599","1914.983","6838.336","3","0"
"Bremen"," Germany","Bremen, Free Hanseatic City of Bremen, Germany","53.0758196","8.8071646","1999.185","6691.292","4","0"
"St. George's"," Bermuda","St. George's, Town of St. George, GE 05, Bermuda","32.382103","-64.677208","2097.376","10669.384","1","0"
"Ponta Delgada"," Portugal","Ponta Delgada, São Miguel, Azores, Portugal","37.7394344","-25.6683618","2583.106","10503.773","2","0"
"Vitória"," Brazil","Vitória, Microrregião Vitória, Greater Vitória, Região Geográfica Intermediária de Vitória, Espírito Santo, Southeast Region, Brazil","-20.3200917","-40.3376682","3427.328","18344.412","1","0"
"Pretoria"," South Africa","Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa","-25.7459374","28.1879444","3558.112","19114.468","1","0"
"Westville"," South Africa","Westville, eThekwini Metropolitan Municipality, KwaZulu-Natal, 3639, South Africa","-29.8244444","30.9386111","3754.61","20142.757","1","0"
"Madrid"," Spain","Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain","40.4167047","-3.7035825","3810.889","13824.063","4","0"
"Florianópolis"," Brazil","Florianópolis, Microrregião de Florianópolis, Mesorregião da Grande Florianópolis, Santa Catarina, South Region, Brazil","-27.5973002","-48.5496098","3815.99","20463.964","1","0"
"Port Elizabeth"," South Africa","Port Elizabeth, Nelson Mandela Bay Metropolitan Municipality, Eastern Cape, 6006, South Africa","-33.9617051","25.6207519","3866.623","20728.93","1","0"
"Philadelphia"," United States of America","Philadelphia, Philadelphia County, Pennsylvania, United States of America","39.9527237","-75.1635262","4214.701","21494.868","2","0"
"Corvallis"," United States of America","Corvallis, Benton County, Oregon, United States of America","44.5645659","-123.2620435","5584.437","30054.187","2","0"
