Affiliation,City,State,Country
,Buenos Aires,,Argentina
,Adelaide,,Australia
,Brussel,,Belgium
,Brussel,,Belgium
,Brussel,,Belgium
,Brussel,,Belgium
,Florianópolis,,Brazil
,Florianópolis,,Brazil
,Florianópolis,,Brazil
,Florianópolis,,Brazil
,Florianópolis,,Brazil
,Florianópolis,,Brazil
,Florianópolis,,Brazil
,Vitória,,Brazil
,Vitória,,Brazil
,Vitória,,Brazil
,Vitória,,Brazil
,Vitória,,Brazil
,Vitória,,Brazil
,Montreal,,Canada
,Montreal,,Canada
,Montreal,,Canada
,Montreal,,Canada
,Montreal,,Canada
,Montreal,,Canada
,Montreal,,Canada
,Montreal,,Canada
,Montreal,,Canada
,Montreal,,Canada
,Montreal,,Canada
,London,,England
,London,,England
,London,,England
,London,,England
,London,,England
,London,,England
,London,,England
,London,,England
,Swindon,,England
,Swindon,,England
,Swindon,,England
,Swindon,,England
,Swindon,,England
,Swindon,,England
,Swindon,,England
,Edinburgh,,Scotland
,Edinburgh,,Scotland
,Edinburgh,,Scotland
,Edinburgh,,Scotland
,Edinburgh,,Scotland
,Edinburgh,,Scotland
,Edinburgh,,Scotland
,Edinburgh,,Scotland
,Oban,,Scotland
,Oban,,Scotland
,Oban,,Scotland
,Oban,,Scotland
,Oban,,Scotland
,Oban,,Scotland
,Oban,,Scotland
,Paris,,France
,Paris,,France
,Paris,,France
,Paris,,France
,Paris,,France
,Paris,,France
,Plouzane,,France
,Plouzane,,France
,Plouzane,,France
,Plouzane,,France
,Plouzane,,France
,Bremen,,Germany
,Bremen,,Germany
,Bremen,,Germany
,Bremen,,Germany
,Bremen,,Germany
,Kiel,,Germany
,Kiel,,Germany
,Kiel,,Germany
,Kiel,,Germany
,Kiel,,Germany
,Berlin,,Germany
,Berlin,,Germany
,Berlin,,Germany
,Berlin,,Germany
,Berlin,,Germany
,Bremerhaven,,Germany
,Bremerhaven,,Germany
,Bremerhaven,,Germany
,Bremerhaven,,Germany
,Bremerhaven,,Germany
,Reykjavik,,Iceland
,Cork,,Ireland
,Cork,,Ireland
,Amsterdam,,Netherlands
,Amsterdam,,Netherlands
,Amsterdam,,Netherlands
,Horta,,Portugal
,Horta,,Portugal
,Horta,,Portugal
,Horta,,Portugal
,Horta,,Portugal
,Horta,,Portugal
,Horta,,Portugal
,Horta,,Portugal
,Horta,,Portugal
,Westville,,South Africa
,Westville,,South Africa
,Bellville,,South Africa
,Bellville,,South Africa
,Port Elizabeth,,South Africa
,Port Elizabeth,,South Africa
,Rondebosch,,South Africa
,Pretoria,,South Africa
,Madrid,,Spain
,Madrid,,Spain
,Madrid,,Spain
,Madrid,,Spain
,Madrid,,Spain
,Madrid,,Spain
,Madrid,,Spain
,Madrid,,Spain
,Madrid,,Spain
,Madrid,,Spain
,Madrid,,Spain
,Madrid,,Spain
,Madrid,,Spain
,Madrid,,Spain
,Goeteborg,,Sweden
,Philadelphia,,United States of America
,Philadelphia,,United States of America
,Philadelphia,,United States of America
,Philadelphia,,United States of America
,Philadelphia,,United States of America
,Philadelphia,,United States of America
,Philadelphia,,United States of America
,Philadelphia,,United States of America
,Corvallis,,United States of America
,Corvallis,,United States of America
,Corvallis,,United States of America
,Corvallis,,United States of America
,Corvallis,,United States of America
,Corvallis,,United States of America
,Corvallis,,United States of America
,,,Total:
