"city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Bremerhaven"," Germany","Bremerhaven, Free Hanseatic City of Bremen, Germany","53.5522264","8.5865509","0.0","0.0","0","8"
"Bremen"," Germany","Bremen, Free Hanseatic City of Bremen, Germany","53.0758196","8.8071646","3.287","109.928","0","1"
"Hamburg"," Germany","Hamburg, Germany","53.5437641","10.0099133","16.871","564.238","0","3"
"Utrecht"," The Netherlands","Utrecht, Netherlands, The Netherlands","52.0949753","5.109708","16.999","568.521","0","1"
"Aarhus"," Denmark","Aarhus, Aarhus Municipality, Central Denmark Region, 8000, Denmark","56.1496278","10.2134046","18.359","613.998","0","1"
"Aalborg"," Denmark","Aalborg, Aalborg Municipality, North Denmark Region, 9000, Denmark","57.0482206","9.9193939","23.786","795.534","0","1"
"Berlin"," Germany","Berlin, 10117, Germany","52.5170365","13.3888599","40.788","1364.132","0","2"
"Plymouth"," United Kingdom","Plymouth, South West England, England, United Kingdom","50.3712659","-4.1425658","536.061","1879.02","1","0"
"Barcelona"," Spain","Barcelona, Barcelonès, Barcelona, Catalonia, Spain","41.3828939","2.1774322","794.202","2869.872","1","0"
"Algiers"," Algeria","Algiers, Sidi M'Hamed District, Algiers, 16007, Algeria","36.7753606","3.0601882","1051.33","3827.439","1","0"
"Lisbon"," Portugal","Lisbon, Grande Lisboa, Área Metropolitana de Lisboa, Portugal","38.7077507","-9.1365919","1123.903","4260.367","1","0"
"Sakarya"," Turkey","Sakarya, Hızırtepe Mahallesi, Adapazarı, Sakarya, Marmara Region, 54050, Turkey","40.7542228","30.3834858","1134.5","4323.581","1","0"
"Haifa"," Israel","Haifa, Haifa Subdistrict, Haifa District, Israel","32.8191218","34.9983856","1426.232","6222.071","1","0"
"Galway City"," Ireland","Galway City, County Galway, Connacht, Ireland","53.2744122","-9.0490632","1956.497","6997.479","3","0"
"College Park"," United States of America","College Park, Prince George's County, Maryland, United States of America","38.980666","-76.9369189","2373.307","12715.4","1","0"
"Surat"," India","Surat, Gujarat, 395001, India","21.1864607","72.8081281","2395.237","12873.136","1","0"
"Norfolk"," United States","Norfolk, Virginia, United States","36.8462923","-76.2929252","2409.443","12975.318","1","0"
"Nairobi"," Kenya","Nairobi, Kenya","-1.3031689499999999","36.826061224105075","2450.476","13270.456","1","0"
"Havana"," Cuba","Havana, La Habana Vieja, Havana, 24000, Cuba","23.135305","-82.3589631","2998.444","16038.62","1","0"
"Bogota"," Colombia","Bogota, Bogota Capital District, Región Andina, 11001, Colombia","4.6533326","-74.083652","3405.615","18215.024","1","0"
"Réduit"," Mauritius","Réduit, Moka, Mauritius","-20.230000099999998","57.49844494640267","3518.836","18889.699","1","0"
"Durban"," South Africa","Durban, eThekwini Metropolitan Municipality, KwaZulu-Natal, 4057, South Africa","-29.861825","31.009909","3545.626","19049.126","1","0"
"Rondebosch"," South Africa","Rondebosch, Cape Town, City of Cape Town, Western Cape, South Africa","-33.9680556","18.4877778","3642.721","19557.232","1","0"
"Cuiabá"," Brazil","Cuiabá, Região Geográfica Imediata de Cuiabá, Região Geográfica Intermediária de Cuiabá, Mato Grosso, Central-West Region, Brazil","-15.5986686","-56.0991301","3661.14","19653.621","1","0"
"São Vicente"," Brazil","São Vicente, Região Imediata de Santos, Região Metropolitana da Baixada Santista, Região Geográfica Intermediária de São Paulo, São Paulo, Southeast Region, Brazil","-23.9603686","-46.3847024","3766.878","20206.955","1","0"
"Quezon City"," Philippines","Quezon City, 4th District, Quezon City, Metro Manila, 1100, Philippines","14.6509905","121.0486155","3769.538","20220.874","1","0"
"Accra"," Ghana","Accra, Accra Metropolitan, Greater Accra Region, 000000, Ghana","5.5600141","-0.2057437","4226.003","21583.303","2","0"
"Autonomous City of Buenos Aires"," Argentina","Autonomous City of Buenos Aires, Comuna 6, Autonomous City of Buenos Aires, Argentina","-34.6075682","-58.4370894","4377.282","23445.648","1","0"
"Los Lagos Region"," Chile","Los Lagos Region, Chile","-42.300844","-73.105387","4924.988","26363.806","1","0"
"Punta Arenas"," Chile","Punta Arenas, Provincia de Magallanes, Region of Magallanes and Chilean Antarctica, Chile","-53.162664","-70.9080552","5209.749","27881.002","1","0"
