"city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Punta Arenas"," Chile","Punta Arenas, Provincia de Magallanes, Region of Magallanes and Chilean Antarctica, Chile","-53.162664","-70.9080552","521.807","1797.971","1","0"
"Los Lagos Region"," Chile","Los Lagos Region, Chile","-42.300844","-73.105387","858.133","3106.264","1","0"
"Autonomous City of Buenos Aires"," Argentina","Autonomous City of Buenos Aires, Comuna 6, Autonomous City of Buenos Aires, Argentina","-34.6075682","-58.4370894","1046.09","3801.254","1","0"
"São Vicente"," Brazil","São Vicente, Região Imediata de Santos, Região Metropolitana da Baixada Santista, Região Geográfica Intermediária de São Paulo, São Paulo, Southeast Region, Brazil","-23.9603686","-46.3847024","1453.72","6470.547","1","0"
"Cuiabá"," Brazil","Cuiabá, Região Geográfica Imediata de Cuiabá, Região Geográfica Intermediária de Cuiabá, Mato Grosso, Central-West Region, Brazil","-15.5986686","-56.0991301","1641.235","8033.503","1","0"
"Rondebosch"," South Africa","Rondebosch, Cape Town, City of Cape Town, Western Cape, South Africa","-33.9680556","18.4877778","2335.48","12443.319","1","0"
"Bogota"," Colombia","Bogota, Bogota Capital District, Región Andina, 11001, Colombia","4.6533326","-74.083652","2399.642","12904.822","1","0"
"Durban"," South Africa","Durban, eThekwini Metropolitan Municipality, KwaZulu-Natal, 4057, South Africa","-29.861825","31.009909","2738.084","14751.744","1","0"
"Havana"," Cuba","Havana, La Habana Vieja, Havana, 24000, Cuba","23.135305","-82.3589631","3254.594","17315.112","1","0"
"Réduit"," Mauritius","Réduit, Moka, Mauritius","-20.230000099999998","57.49844494640267","3675.778","19730.223","1","0"
"Norfolk"," United States","Norfolk, Virginia, United States","36.8462923","-76.2929252","3730.275","20015.412","1","0"
"Nairobi"," Kenya","Nairobi, Kenya","-1.3031689499999999","36.826061224105075","3809.763","20431.376","1","0"
"College Park"," United States of America","College Park, Prince George's County, Maryland, United States of America","38.980666","-76.9369189","3823.463","20503.07","1","0"
"Lisbon"," Portugal","Lisbon, Grande Lisboa, Área Metropolitana de Lisboa, Portugal","38.7077507","-9.1365919","4145.754","22212.075","1","0"
"Algiers"," Algeria","Algiers, Sidi M'Hamed District, Algiers, 16007, Algeria","36.7753606","3.0601882","4284.518","22951.404","1","0"
"Barcelona"," Spain","Barcelona, Barcelonès, Barcelona, Catalonia, Spain","41.3828939","2.1774322","4428.121","23716.517","1","0"
"Plymouth"," United Kingdom","Plymouth, South West England, England, United Kingdom","50.3712659","-4.1425658","4640.791","24849.611","1","0"
"Utrecht"," The Netherlands","Utrecht, Netherlands, The Netherlands","52.0949753","5.109708","4839.114","25906.272","1","0"
"Haifa"," Israel","Haifa, Haifa Subdistrict, Haifa District, Israel","32.8191218","34.9983856","4852.881","25979.62","1","0"
"Bremen"," Germany","Bremen, Free Hanseatic City of Bremen, Germany","53.0758196","8.8071646","4930.141","26391.257","1","0"
"Sakarya"," Turkey","Sakarya, Hızırtepe Mahallesi, Adapazarı, Sakarya, Marmara Region, 54050, Turkey","40.7542228","30.3834858","4979.538","26654.446","1","0"
"Aarhus"," Denmark","Aarhus, Aarhus Municipality, Central Denmark Region, 8000, Denmark","56.1496278","10.2134046","5048.839","27023.678","1","0"
"Aalborg"," Denmark","Aalborg, Aalborg Municipality, North Denmark Region, 9000, Denmark","57.0482206","9.9193939","5071.922","27146.661","1","0"
"Surat"," India","Surat, Gujarat, 395001, India","21.1864607","72.8081281","5457.771","29202.452","1","0"
"Quezon City"," Philippines","Quezon City, 4th District, Quezon City, Metro Manila, 1100, Philippines","14.6509905","121.0486155","5943.36","31789.647","1","0"
"Accra"," Ghana","Accra, Accra Metropolitan, Greater Accra Region, 000000, Ghana","5.5600141","-0.2057437","6285.94","33481.826","2","0"
"Berlin"," Germany","Berlin, 10117, Germany","52.5170365","13.3888599","9978.884","53414.425","2","0"
"Galway City"," Ireland","Galway City, County Galway, Connacht, Ireland","53.2744122","-9.0490632","14034.244","75144.889","3","0"
"Hamburg"," Germany","Hamburg, Germany","53.5437641","10.0099133","14893.605","79723.526","3","0"
"Bremerhaven"," Germany","Bremerhaven, Free Hanseatic City of Bremen, Germany","53.5522264","8.5865509","39533.598","211622.749","8","0"
