Order,Initials,Role,Institution,City,Country
1,JA,iAtlantic Fellow,University College Cork,Cork,Ireland
2,RA,iAtlantic Fellow,Universidade Federal de Santa Catarina,Florianópolis,Brazil
3,KAB,iAtlantic Fellow,University of Edinburgh,Edinburgh,UK
4,CA,iAtlantic Fellow,Instituto Español de Oceanografía,Las Palmas,Gran Canaria
5,JBF,iAtlantic Fellow,Instituto do Mar,Faial,Azores
6,JB,iAtlantic Fellow,Instituto do Mar,Faial,Azores
7,KB,iAtlantic Fellow,Scottish Association for Marine Science,Oban,UK
8,FB,iAtlantic Fellow,University College Cork,Cork,Ireland
9,LDC,iAtlantic Fellow,University of Edinburgh,Edinburgh,UK
10,DDJ,iAtlantic Fellow,Heriot-Watt University,Edinburgh,UK
11,CDC,iAtlantic Fellow,Instituto do Mar,Faial,Azores
12,DD,iAtlantic Fellow,University of the Western Cape,Cape Town,South Africa
13,SE,iAtlantic Fellow,National Oceanography Centre,Southamptom,UK
14,CFS,iAtlantic Fellow,University of Sao Paolo,Sao Paolo,Brazil
15,MLF,iAtlantic Fellow,University of the Western Cape,Cape Town,South Africa
16,BF,iAtlantic Fellow,GEOMAR,Kiel,Germany
17,EF,iAtlantic Fellow,Instituto Español de Oceanografía,Vigo,Spain
18,TG,iAtlantic Fellow,University of Edinburgh,Edinburgh,UK
19,CGZ,iAtlantic Fellow,Instituto Español de Oceanografía,Barcelona,Spain
20,LH,iAtlantic Fellow,GEOMAR,Kiel,Germany
21,GK,iAtlantic Fellow,University of Edinburgh,Edinburgh,UK
22,AL,iAtlantic Fellow,University College Cork,Cork,Ireland
23,LMCO,iAtlantic Fellow,University College Cork,Cork,Ireland
24,AMC,iAtlantic Fellow,University College Cork,Cork,Ireland
25,AM,iAtlantic Fellow,Instituto Español de Oceanografía,Vigo,Spain
26,LO,iAtlantic Fellow,University College Cork,Cork,Ireland
27,IPR,iAtlantic Fellow,Instituto Español de Oceanografía,Vigo,Spain
28,EP,iAtlantic Fellow,Ifremer,Brest,France
29,PP,iAtlantic Fellow,Instituto Español de Oceanografía,Vigo,Spain
30,MR,iAtlantic Fellow,University of the Azores,Ponta Delgada,Azores
31,MR,iAtlantic Fellow,Instituto do Mar,Faial,Azores
32,RS,iAtlantic Fellow,Universidade do Vale do Itajaí,Itajaí,Brazil
33,DS,iAtlantic Fellow,Instituto Español de Oceanografía,Las Palmas,Gran Canaria
34,RS,iAtlantic Fellow,University of the Western Cape,Cape Town,South Africa
35,TS,iAtlantic Fellow,GEOMAR,Kiel,Germany
36,TS,iAtlantic Fellow,GEOMAR,Kiel,Germany
37,MS,iAtlantic Fellow,GEOMAR,Kiel,Germany
38,GS,iAtlantic Fellow,University College Cork,Cork,Ireland
39,PT,iAtlantic Fellow,Seascape Consultants,Southamptom,UK
40,JV,iAtlantic Fellow,University of Edinburgh,Edinburgh,UK
41,LVA,iAtlantic Fellow,Ifremer,Brest,France
42,BV,iAtlantic Fellow,Instituto Español de Oceanografía,Vigo,Spain
43,DYG,iAtlantic Fellow,Universidade Federal do Espírito Santo,Vitória,Brazil
44,MR,Steering,University of Edinburgh,Edinburgh,UK
45,CD,Steering,GEOMAR,Kiel,Germany
46,MV,Steering,University of Edinburgh,Edinburgh,UK
47,CG,Steering,University of Edinburgh,Edinburgh,UK
48,TM,Steering,University of Edinburgh,Edinburgh,UK
49,AB,Steering,GEOMAR,Kiel,Germany
50,DJ,Steering,UPMC Université Paris,Roscoff,France
51,VH,Steering,National Oceanography Centre,Southamptom,UK
52,LAH,Steering,University of Edinburgh,Edinburgh,UK
53,AKS,Steering,Heriot-Watt University,Edinburgh,UK
54,MCS,Steering,Instituto do Mar,Faial,Azores
55,TM,Steering,Instituto do Mar,Faial,Azores
56,KL,Steering,EMODnet,Oostende,Belgium
57,VG,Steering,Seascape Consultants,Southamptom,UK
58,SU,Steering,IASS,Potsdam,Germany
58,TD,Steering,University of Hamburg,Hamburg,Germany
58,CO,Steering,Instituto Español de Oceanografía,Vigo,Spain
58,BD,Steering,Alfred Wegner Institute,Bremerhaven,Germany
58,AP,Steering,Universidade do Vale do Itajaí,Itajaí,Brazil
58,AJS,Steering,University of the Western Cape,Cape Town,South Africa
58,EK,Steering,Fisheries and Oceans Canada,Dartmouth,Canada
58,SAR,Steering,Marine and Freshwater Research Institute,Hafnarfjörður,Iceland
